broker_number,total_purch_amount,total_purch(%),total_sell_amount,total_sell(%),matching_summary,matching(%),total_turn_over(%),turn_over_vs_market,Buy/Sell_Ratio
49,177933212,67.73868487582232,84742705.50000003,32.26131512417769,11781595.4,4.4852209948024635,262675917.50000003,15.887643496403989,2.099687648041871
58,98706343.59999995,52.779090934960074,88311549.00000001,47.220909065039926,6406604.100000001,3.425663721760921,187017892.59999996,11.311556968588752,1.1177059480634852
14,72837777.7,63.91734382682447,41118424.70000001,36.082656173175536,2041924.9,1.7918506031225905,113956202.4,6.892506687200423,1.7714145965324393
45,68398181.5,44.27880232702427,86073434.5,55.721197672975734,3055346.1,1.9779336677619792,154471616,9.343033760685024,0.7946491492680009
34,66434101.530000016,51.40651485194518,62798743.21999999,48.593485148054825,1779571.9,1.37702756868238,129232844.75,7.816496407266279,1.0578890296779417
57,56599830.299999975,58.25080220523172,40565922.2,41.74919779476829,1853186.2,1.9072421633332182,97165752.49999997,5.876956100400122,1.3952556044689148
38,53191965.999999985,53.31217765684785,46582547.7,46.687822343152156,1373439.6,1.3765435170444738,99774513.69999999,6.034743949043883,1.1418861489192438
44,53043849.8,38.5284649601239,84630593.89999999,61.4715350398761,6722396.3,4.88282074678178,137674443.7,8.32707657743821,0.6267692019587731
42,50192849.099999994,64.71274564941464,27369690.7,35.28725435058536,1126179.4,1.451963026099875,77562539.8,4.6912788684484,1.8338844106849916
33,48154984.90000001,42.855918465514044,64209856.70000001,57.144081534485956,3307210.4,2.943278656301687,112364841.60000002,6.796255103480145,0.7499625038097929
55,44575092.49999999,59.432760907145635,30425785.5,40.56723909285435,109008,0.1453422985261586,75000878,4.536339771541062,1.4650432771900004
39,42504647.49999999,58.437360017869366,30230752.399999995,41.56263998213062,673796.5,0.9263666672986837,72735399.89999999,4.399314996889953,1.4060069341840131
35,36589343,54.81380128197896,30162719.7,45.18619871802104,838303.1,1.255845986014751,66752062.7,4.037419893383284,1.2130651136210373
28,35010128.5,31.025242532961585,77833883.8,68.97475746703842,884958.5,0.7842316858136035,112844012.3,6.825237178913543,0.44980575028173014
7,34976186.1,48.586715760659025,37010951.849999994,51.41328423934098,665274,0.9241567576447871,71987137.94999999,4.3540572541297164,0.9450226041673664
17,33585094.599999994,32.36495042011213,70184860.75,67.63504957988788,1263840.2,1.217924972346054,103769955.35,6.276403531505927,0.4785233487835907
32,33583369.900000006,51.60787331388455,31490751.049999997,48.392126686115446,887311.2,1.3635392795882244,65074120.95,3.9359315628752833,1.0664518558695986
41,32352099.1,51.407141042414864,30580984.6,48.592858957585136,1135055.8,1.8035915821490247,62933083.7,3.8064334464728873,1.057915548605325
50,29800006.299999997,58.057858513001435,21528112,41.942141486998565,538838,1.0497910654947973,51328118.3,3.104520782312103,1.3842368666606713
13,29226142.6,51.09077217505865,27978204.400000002,48.90922782494135,835896,1.461245593800765,57204347,3.459937554346172,1.0446039417740476
26,28048529.699999996,54.51692789587108,23400682.100000005,45.48307210412892,358458,0.6967220438545183,51449211.8,3.111844980038496,1.1986201761187119
6,27403800.200000003,44.7033813907219,33897603.28999999,55.296618609278106,749030.7,1.221881812415907,61301403.489999995,3.7077431907260214,0.8084288427578683
43,27250319.499999996,43.647206867466146,35182815.3,56.35279313253384,180523.2,0.2891464613755067,62433134.8,3.7761946260845685,0.7745349332519162
59,26991862.2,55.648202963015855,21512601.13,44.351797036984145,363403.7,0.7492170308690642,48504463.33,2.933735337086774,1.2547000726173925
21,26865548.299999997,61.59060397599411,16754008.200000001,38.409396024005886,740625,1.6979196017272664,43619556.5,2.6382775008038233,1.6035296138866635
36,26549866.1,50.838483529063026,25674087.599999998,49.16151647093697,98145.6,0.18793215190829185,52223953.7,3.158704331387014,1.0341113777301283
48,25975457.439999998,46.55004827424703,29825682.200000003,53.44995172575297,213909,0.38334163312797886,55801139.64,3.3750662098415507,0.8709090798265126
25,25713161.65,38.59639628750634,40907466.49999999,61.40360371249366,2707451.4,4.063983596648211,66620628.14999999,4.029470229427087,0.6285689105190614
1,23793462.8,58.692192056466155,16745937.699999996,41.30780794353384,471704,1.163569254064327,40539400.5,2.451977892879889,1.4208498339271862
19,22988528.800000004,55.810267924225556,18201971.9,44.189732075774444,367209,0.8914895273414337,41190500.7,2.4913589216262237,1.2629691401732142
16,22955479.150000006,49.92085578327267,23028266.100000005,50.07914421672732,227401,0.49452474730731055,45983745.250000015,2.7812726728610757,0.99683923445717
22,22121885.500000004,36.59159782068235,38334303.39999999,63.408402179317655,456783.3,0.7555608587163193,60456188.89999999,3.656621381723948,0.5770780616297833
53,21031001.200000003,36.96436139239418,35864344.5,63.03563860760582,171268,0.3010228655663129,56895345.7,3.4412479746502136,0.5864041708611182
29,20908164.9,51.20777073898542,19921897.8,48.79222926101458,528203.6,1.2936634554812965,40830062.7,2.469558253711713,1.0495066840469385
47,20755076.449999996,52.98914332916884,18413468.55,47.010856670831146,193999.5,0.4952941192990447,39168545,2.369063312524099,1.1271682135085839
56,19732884.8,39.513119672802475,30207198.299999993,60.486880327197525,301874,0.604472362201576,49940083.099999994,3.0205671080356638,0.6532510762509215
46,18003648.6,48.35284759570361,19230246.6,51.64715240429639,539589,1.4491876208535923,37233895.2,2.252048297956617,0.9362151705324465
4,17325748.5,32.35852349995159,36217326.480000004,67.64147650004841,261595.4,0.4885699973296528,53543074.980000004,3.2384898283774644,0.47838286764672305
8,16421101.299999999,37.06451957923369,27882997.3,62.93548042076631,70477,0.1590755759107127,44304098.6,2.6796812234845664,0.5889288415919331
40,16010257.3,53.311825559637306,14021085.9,46.68817444036269,59506.6,0.19814831325959467,30031343.200000003,1.8164104232347686,1.1418699959608691
51,14737802.5,49.64842503176091,14946527.850000001,50.3515749682391,119845,0.4037315263202492,29684330.35,1.7954217597061788,0.9860351947894038
52,14342447.599999998,42.31264245277605,19553917.1,57.68735754722394,120825.8,0.3564565140520806,33896364.7,2.05018169652988,0.733482070454313
3,11151504.4,42.478791686438065,15100429.7,57.52120831356192,903570.6,3.441920113611743,26251934.1,1.5878173151213648,0.7384892100123482
5,10979732.200000001,51.10634935403328,10504354.099999996,48.893650645966716,251460,1.1704477280935146,21484086.299999997,1.2994396563985617,1.0452553384505578
11,10260929.8,42.13572171018637,14091162.399999999,57.86427828981363,19393,0.07963586800151816,24352092.2,1.4729076153894476,0.7281819277024302
37,9971005.3,49.27897499391118,10262786.7,50.721025006088816,99705.5,0.49276724797803595,20233792,1.2238170782305957,0.9715689891518452
54,9515632.999999998,44.37965119923936,11925799.6,55.620348800760645,114606,0.53450719519553,21441432.599999998,1.296859797590597,0.7979031443728098
18,6025957,68.69960971366058,2745500.4000000004,31.300390286339418,0,0.0,8771457.4,0.5305312700205744,2.194848341672068
10,5144039.399999997,47.04627432990095,5789960.1,52.95372567009905,130230,1.1910554779154694,10933999.499999996,0.6613300819473084,0.8884412519526683
20,4858942.100000001,38.994119024518426,7601762.800000001,61.00588097548156,0,0.0,12460704.900000002,0.7536710599482129,0.6391862292782932
501,1805681.55,50.668992856558695,1758000,49.33100714344131,0,0.0,3563681.55,0.21554508133054254,1.0271226109215017
