broker_number,total_purch_amount,total_purch(%),total_sell_amount,total_sell(%),matching_summary,matching(%),total_turn_over(%),turn_over_vs_market,Buy/Sell_Ratio
58,195397732.99999994,57.636155143747715,143621642.1,42.3638448562523,8807661,2.597981604267314,339019375.0999999,17.113437726039944,1.360503404242862
45,148471059.9,51.903803827482506,137579381.4,48.096196172517494,63286454.6,22.12422896898359,286050441.3,14.439606622039921,1.0791665029248343
34,90811125.69999999,53.26747520381225,79670252.20000006,46.732524796187754,3184883,1.868170611495274,170481377.90000004,8.605769045738336,1.1398373068034535
17,89042257.00000003,54.23742158656331,75129000.4,45.76257841343669,5238709.7,3.191002970292167,164171257.40000004,8.287239008365972,1.1851915575333547
49,72763362.90000002,55.83948799403967,57544713.90000001,44.16051200596032,2336245.8,1.7928633875747593,130308076.80000004,6.577851654817801,1.2644664986335088
28,61975231.000000015,49.083056952797875,64290806.3,50.916943047202125,1585437,1.2556321825742447,126266037.30000001,6.373812604692597,0.9639827926687554
44,60486973.20000001,50.60392460577273,59043228.599999994,49.39607539422725,1695560.4,1.4185204864265524,119530201.80000001,6.033792801021797,1.0244523315244318
25,58249715.89999998,68.42265658393595,26882488.559999995,31.577343416064057,540040,0.6343545353083649,85132204.45999998,4.297408309117936,2.166827515614499
33,55544322.29999999,64.88772759304977,30056336.500000007,35.112272406950225,1747116.8,2.0410085909292093,85600658.8,4.321055524480534,1.8480070683265066
38,52686585.60000001,53.873694120019145,45109911.29999999,46.12630587998085,1939878.6,1.983587001059544,97796496.9,4.936692066727277,1.167960301442668
39,51553994.599999994,72.43515656554997,19618619.699999996,27.564843434450044,489096.19999999995,0.6871971822454189,71172614.29999998,3.5927389172469453,2.627809468165592
4,51187315.1,71.86355248081911,20041163.499999996,28.1364475191809,356879,0.5010341467548908,71228478.6,3.595558904213404,2.554108951808113
50,50296178.99999999,53.38372495906122,43920137,46.616275040938774,1371900.9,1.456118173841567,94216316,4.755967284074264,1.1451735453375291
42,49585588.35999999,21.130539199152352,185077559.10000002,78.86946080084765,3726637.1,1.5880793982085455,234663147.46,11.84561548869789,0.26791788589133164
56,47070557.800000004,67.9879302069283,22163139.500000004,32.0120697930717,222392.5,0.3212200253242867,69233697.30000001,3.4948638759586053,2.123821753682505
57,45721491.00000001,42.06786302160459,62963590.00000003,57.93213697839542,2031973.4,1.8695973553168714,108685081.00000003,5.486339430879059,0.7261576253831776
35,40756301.5,35.25565222653489,74845875.53,64.74434777346511,1549765.3,1.34060217533604,115602177.03,5.835509126916418,0.5445363717291798
59,40030788.4,50.71796838690802,38897429.1,49.28203161309199,1662272.8,2.106056430325441,78928217.5,3.9842358113460707,1.0291371261860593
14,36751680.7,45.68258840560389,43698403.2,54.31741159439611,947144,1.1773064167059246,80450083.9,4.061058458594684,0.8410302896376772
48,35333548.69999998,54.22382554549306,29828856.099999994,45.77617445450694,309847,0.47549963963269837,65162404.799999975,3.289348156856437,1.1845425309487476
52,34513886.099999994,51.65209936171479,32306023.5,48.34790063828521,963832.2,1.4424326608188047,66819909.599999994,3.3730177263819128,1.0683421344010349
26,34508930.300000004,56.3137163923569,26770865.299999993,43.6862836076431,308684,0.5037288342391273,61279795.599999994,3.093357025850576,1.2890479972643998
6,34150635.3,45.936068015537515,40193201.19999999,54.063931984462485,2411523.3000000003,3.243743413752935,74343836.49999999,3.7528197787585547,0.8496619896003706
36,34120084.4,52.32090987493317,31093010.099999994,47.67909012506683,1134960,1.7403866642151142,65213094.49999999,3.2919069339884115,1.0973554599655826
21,33800344.199999996,53.13152068319322,29816024.699999996,46.86847931680678,1067642.6,1.678251397338084,63616368.89999999,3.211305451807301,1.1336301381585587
19,31979353.000000004,53.87036312565008,27384184.099999998,46.12963687434992,477644,0.8046083898191437,59363537.1,2.996625768243038,1.1678037542845765
41,30734224.299999997,47.023475108272436,34625097.25000001,52.976524891727564,290552.7,0.444546689147816,65359321.550000004,3.2992883631863728,0.8876285336642625
55,30541478.200000007,52.50614114613581,27625961.9,47.49385885386418,341091,0.5863950681233434,58167440.10000001,2.9362477101519175,1.1055353768514395
16,28989212.299999997,46.29085211635295,33634850.49999999,53.70914788364705,838393.3,1.3387718115280125,62624062.79999999,3.161214601859535,0.8618802185548589
53,27210954.8,56.18963785448769,21216043.2,43.8103621455123,485786,1.0031305264885508,48426998,2.4445576725153404,1.282565016647402
7,26788367.2,49.79872670855337,27004910.19999999,50.20127329144663,157583,0.2929418091190704,53793277.39999999,2.7154433359242303,0.9919813471551557
32,26544005.9,40.877976157476034,38390730.09999999,59.12202384252397,922566.8,1.420760069002206,64934735.999999985,3.2778556106566437,0.6914170642459339
29,24202555.500000004,46.14609246649234,28245125.78000001,53.85390753350765,518332.5,0.9882848723717683,52447681.280000016,2.647518677054135,0.8568754725510023
22,22721354.7,51.289733477097954,21578650.7,48.71026652290205,100614,0.2271196111411761,44300005.4,2.2362302551366287,1.0529553036418537
43,20579949.999999993,43.60546876115697,26615850.4,56.39453123884303,262034.4,0.5552070264285635,47195800.39999999,2.3824077630895593,0.7732215837822711
51,18750746.299999997,43.739690673648965,24118204.099999998,56.26030932635104,286995,0.6694705546138122,42868950.39999999,2.1639916976270044,0.7774520118602031
46,17850358,63.214456216620974,10387420.3,36.78554378337902,2940,0.010411583973658437,28237778.3,1.425421365124722,1.7184592020407607
1,17069957,45.50068683419809,20445865.7,54.4993131658019,77089,0.2054839650364378,37515822.7,1.8937699219350779,0.8348855093966503
13,16618746.5,31.626297401720528,35928493.82,68.37370259827948,241243.4,0.45909813442320846,52547240.32,2.652544340943113,0.4625506035198444
5,14285325.899999997,41.41038249194708,20211640.900000002,58.589617508052925,87832,0.2546078920770507,34496966.8,1.741380394247171,0.70678704270864
37,14213022.6,48.77396857719165,14927568.2,51.22603142280836,0,0.0,29140590.799999997,1.4709946468655755,0.9521324846467625
47,14059007.529999997,38.032047970071524,22907204.6,61.96795202992848,1165245,3.1521893449676535,36966212.129999995,1.866026002400998,0.6137373710801883
10,13705818.5,48.902820315551715,14320823.75,51.09717968444829,98385,0.3510409813719301,28026642.25,1.4147633794496224,0.9570551763825736
3,13355325.599999998,54.50023327204276,11149754.100000001,45.49976672795723,73200,0.29871357651613756,24505079.7,1.2369976060922652,1.1978134656799289
40,13314412.1,45.90685177103611,15688692.199999996,54.093148228963884,138610,0.47791435898122125,29003104.299999997,1.464054433919849,0.8486629688611014
18,13200690.2,52.86658557142867,11769127.8,47.13341442857133,0,0.0,24969818,1.260457238609167,1.1216370851202753
8,11810157,32.47655687120314,24555018.799999993,67.52344312879686,198286.8,0.5452656164527603,36365175.8,1.8356861499913575,0.4809671332851923
54,11526783.399999999,42.68924925328148,15474823.8,57.31075074671852,75383.9,0.2791830110023969,27001607.2,1.3630203972380335,0.7448733212716773
11,9761238.9,36.044290210709704,17319995.999999996,63.95570978929028,389364.4,1.437764568114285,27081234.9,1.367039942388855,0.5635820527903126
20,5739238.300000001,43.05071267649375,7592105,56.94928732350625,5396.4,0.04047904159815612,13331343.3,0.6729559728015967,0.7559482251628502
501,650726.3,7.761871494677668,7732900,92.23812850532234,0,0.0,8383626.3,0.4231990179355407,0.08415035756313932
