broker_number,total_purch_amount,total_purch(%),total_sell_amount,total_sell(%),matching_summary,matching(%),total_turn_over(%),turn_over_vs_market,Buy/Sell_Ratio
34,161237020.24999997,53.6839003099429,139108184.40000004,46.31609969005711,9922469.7,3.303688404668524,300345204.65,9.854686524610436,1.1590764479131532
58,146409813.42,35.6097527878034,264741070.6999999,64.3902472121966,12507099,3.0419730281668653,411150884.1199999,13.490353814840006,0.5530302232021609
38,128102361.59999998,60.79526560675702,82608719.8,39.20473439324298,3421250.1999999997,1.6236688537065238,210711081.39999998,6.913683396005811,1.550712345018086
45,115048608.8,41.341909630353925,163237057.79999995,58.658090369646075,6560976,2.3576406504006413,278285666.59999996,9.130886613725238,0.7047946731615254
35,106244499.89999999,49.79530044323064,107118004.1,50.20469955676935,12693932,5.949467109741081,213362504,7.000679752740445,0.9918454025787808
57,99105774.8,51.106047455259215,94816040.20000002,48.893952544740785,3406098.8,1.7564288989353778,193921815,6.362807421331998,1.045242709893299
28,95466497.50000003,46.85973288452991,108261717.80000003,53.14026711547009,5776525,2.8354074527643487,203728215.30000007,6.684567181085654,0.8818121441261669
44,95426293.1,53.13606368478606,84162269.69999999,46.86393631521394,5075974.4,2.8264463620953935,179588562.79999998,5.892516219334001,1.1338369727925721
49,92864124.99999999,39.79330127999456,140502100.00000003,60.20669872000545,5789698.1,2.4809494604457005,233366225,7.657025839605683,0.6609447474450557
17,91731012.24000002,51.91475542449236,84964440.70000002,48.08524457550763,2437020.5,1.3792208341815857,176695452.94000006,5.797589813617675,1.0796400409895244
6,87019468.89999998,56.62746938595682,66650595.89999999,43.37253061404319,3839835.1,2.4987528345208334,153670064.79999995,5.042099202433769,1.305606765025187
42,83996181.80000003,50.18927714760245,83362637.8,49.81072285239755,2594450,1.5502320141842107,167358819.60000002,5.491243671457196,1.0075998554834602
41,83252476.60000001,58.40774873624248,59284221.7,41.592251263757525,1838290.3,1.2896961427652207,142536698.3,4.6768000895381485,1.404293996154461
14,79272400.5,63.061030533601034,46435029.00000001,36.938969466398966,3500727.5999999996,2.784821560606328,125707429.5,4.124611588124673,1.7071681057849666
33,76961636.89999999,70.77052611082337,31786511.7,29.22947388917663,551100,0.5067672480816836,108748148.6,3.5681572337191407,2.4212042399103515
26,75934287.10000001,60.229208177087855,50141232.40000002,39.77079182291215,1057583.9,0.8388495278022626,126075519.50000003,4.136689062666247,1.5144080722674853
16,73549066.8,57.71419757416577,53887629.699999996,42.28580242583423,1774553.5,1.3924980392127475,127436696.5,4.181350913203001,1.364859935563282
32,71194571.60000004,48.99841229667179,74105180.5,51.00158770332822,2906035.4,2.000027775684002,145299752.10000002,4.767459199882075,0.9607232735908394
59,67080130.199999996,50.75433295569071,65086182.099999994,49.24566704430929,1056189,0.7991363166754559,132166312.29999998,4.336535282286434,1.0306355056582739
21,62923849.4,47.498806389972266,69550741.39999999,52.50119361002774,839127,0.6334248665593917,132474590.79999998,4.34665026975,0.9047186001672156
25,60282623.15,51.24028720112743,57364303.59999998,48.75971279887257,2849912.6,2.422428429478716,117646926.74999997,3.8601368217485064,1.0508734416153536
55,60000352.999999985,59.10958590405525,41506622.699999996,40.890414095944735,1068987.7,1.053117475550993,101506975.69999999,3.330565662769435,1.4455609514093275
50,59899420.9,62.72675321354907,35593200.400000006,37.273246786450926,2446275.2,2.5617426422034977,95492621.30000001,3.133227478765533,1.6828894346910144
13,53703405.499999985,68.04336384277778,25221859.9,31.956636157222228,651625.3,0.8256231977143282,78925265.39999998,2.589632653849271,2.12924049665346
36,52381567.89999999,50.72065689352437,50893056.499999985,49.27934310647563,1801178.5999999999,1.7440669578460362,103274624.39999998,3.3885643374758767,1.0292478287288562
47,47736570.199999996,70.68076340756431,19801707.4,29.319236592435693,155820.80000000002,0.23071479690799818,67538277.6,2.2160119218008587,2.410730006039782
7,45694821.300000004,43.26040647040445,59932529.5,56.739593529595545,1734325,1.6419279541374239,105627350.80000001,3.4657601135069744,0.7624377225726807
22,45682123.99999999,51.25802104446525,43439779.40000001,48.741978955534755,419466.10000000003,0.4706655535815228,89121903.4,2.9241965807547414,1.0516196129670028
53,45536826.5,51.18382223932995,43430398.9,48.81617776067005,312030,0.3507246613537753,88967225.4,2.9191214099890552,1.0485012261768565
1,45136682.69999999,53.793803784066554,38770160.7,46.20619621593345,939163,1.1192924938468132,83906843.39999999,2.753084205023874,1.1642119064004803
39,44194900,46.78127368274261,50276448.29999999,53.21872631725739,1429562.5999999999,1.5132234542269152,94471348.29999998,3.0997182862922354,0.8790378297267273
48,43207347.9,39.66615201977039,65720152.5,60.333847980229606,897569,0.8240058724417401,108927500.4,3.574041981466934,0.6574444254370834
29,42518307.00000001,40.58668239583509,62240950.20000001,59.41331760416492,1084759.2,1.035478132427995,104759257.20000002,3.4372769209353145,0.6831243235100868
52,42287448.8,37.274861842667306,71160185.1,62.725138157332694,1259983.9,1.1106303910318926,113447633.89999999,3.72235298494641,0.5942571501264968
51,41647194.199999996,45.20645794127431,50479453.39999999,54.793542058725684,350964.5,0.3809587227398471,92126647.6,3.0227858431075316,0.8250325903885481
54,37585067.7,63.461423554363364,21639994.700000003,36.538576445636636,129171.8,0.21810327379241393,59225062.400000006,1.9432453567308594,1.7368334983926774
43,37397059.3,41.44435595637246,52837324.699999996,58.55564404362753,775876.3,0.8598455107755819,90234384,2.960698404016698,0.7077773053865462
40,36921321.2,53.16106803318091,32530483.599999998,46.838931966819096,146543,0.21099955634270284,69451804.8,2.2787970451201756,1.1349760936231519
4,34477411.5,53.58252761298744,29867092.270000003,46.41747238701255,472339.6,0.7340791712193198,64344503.77,2.111220370486326,1.1543611674120293
56,31369047.999999996,38.03382697860842,51107658.900000006,61.96617302139157,385062.3,0.4668739993060998,82476706.9,2.7061597105531634,0.6137837004308564
19,29618759.82,48.80823180226967,31065183.699999996,51.19176819773033,296368,0.4883795989664451,60683943.519999996,1.9911129966721268,0.953439068831259
8,27963367.5,34.44845002078195,53211162.80000001,65.55154997921807,1351751.5,1.665240925945955,81174530.30000001,2.6634337339302405,0.5255169409678827
37,25413925.300000004,64.99398890787648,13688037.400000002,35.006011092123515,34276.4,0.08765902689585452,39101962.7,1.2829823114857244,1.8566522400062992
46,25176584.999999996,46.05578165096877,29488831.800000004,53.94421834903124,361430,0.661167555572356,54665416.8,1.7936379138429932,0.8537667809546797
5,23787476.000000004,42.77311914281442,31825667.200000007,57.22688085718557,201080,0.3615692054607695,55613143.20000001,1.8247339541276428,0.7474305519037162
3,22453357.199999996,47.23764433947067,25079405.1,52.76235566052934,288480,0.6069077117363323,47532762.3,1.5596069617997843,0.8952906622175019
20,22422032.2,49.032577354185484,23306814.639999993,50.96742264581452,16797,0.03673173753707541,45728846.83999999,1.5004183311841746,0.9620376077269049
11,19962386.8,59.58331486874363,13540930.100000001,40.416685131256365,45529,0.135894007557204,33503316.900000002,1.099284025423121,1.4742256737592936
10,19126602.849999998,40.40152950164793,28214681.22,59.598470498352086,956415,2.020255721382253,47341284.06999999,1.5533243313341631,0.6778954084528905
18,16189847.899999999,46.752994258528204,18438624.900000002,53.24700574147181,354169,1.0227681770591974,34628472.8,1.1362017404861502,0.8780398748715799
501,15145895.2,70.76383873858926,6257544,29.236161261410736,0,0.0,21403439.2,0.7022725204164793,2.4204216862078796
