broker_number,total_purch_amount,total_purch(%),total_sell_amount,total_sell(%),matching_summary,matching(%),total_turn_over(%),turn_over_vs_market,Buy/Sell_Ratio
58,156027854.4,65.72645885200909,81361862.2,34.273541147990905,7879842.800000001,3.3193699006252575,237389716.60000002,12.289039131882102,1.9177025965366854
49,89939837.50000001,51.02264747474238,86334507.22999997,48.97735252525762,5580882.399999999,3.1660207890990923,176274344.73,9.125257620084481,1.0417600144562733
45,88780478.69999996,47.03993468480413,99953794.19999999,52.96006531519587,5874700.8,3.1126836211209423,188734272.89999995,9.770275218380773,0.8882151939360794
28,75696540.80000001,65.51217849464504,39849213.49999999,34.48782150535495,3359786.9,2.9077545257757684,115545754.30000001,5.9814987626786476,1.89957427390631
17,70683944.80000001,60.3972645052346,46347754.2,39.6027354947654,1064518.5,0.9095984328143436,117031699.00000001,6.05842219823286,1.5250780975273233
42,67196676.82999998,45.948804894306775,79045814.10000001,54.05119510569322,2807827.9,1.9199809044171616,146242490.93,7.570587806088158,0.8500978526831312
33,65241129.900000006,49.900952416993036,65500121.99999999,50.099047583006964,6410285.399999999,4.90303198634126,130741251.9,6.768129570909792,0.9960459295022384
14,59280511.82999999,51.181331129200814,56543970.50000001,48.81866887079918,2442300.7,2.1086221590367633,115824482.33,5.995927777199078,1.0483966956299962
38,59011116.89999998,50.26353374663562,58392321.54000001,49.73646625336436,1856286,1.5811172352917673,117403438.44,6.077666167982069,1.0105972042844038
34,58236817.6,37.81256956145598,95777623.29999997,62.18743043854401,3231405.7999999993,2.0981187095943286,154014440.89999998,7.9729211450393676,0.608041999722497
57,52437855.900000006,46.173727292177006,61128578.89999999,53.826272707822994,1566371.8,1.3792559419149788,113566434.8,5.879034615796569,0.8578288068136328
6,50915815.75000001,44.11782918011309,64492890.19999997,55.8821708198869,1925972.7,1.6688279139308728,115408705.94999999,5.974404131284197,0.7894795161467276
44,50003941.3,46.364853803251854,57844864.85000001,53.63514619674815,3674770,3.4073348896315068,107848806.15,5.583048070011122,0.8644490989765012
16,45310494.3,46.944066507331954,51209678.900000006,53.05593349266804,809596.1,0.8387843423389132,96520173.2,4.996594639646822,0.8848033276771824
41,44586168.800000004,54.165388594114795,37728700.449999996,45.834611405885205,554141.8,0.6731976920439561,82314869.25,4.261223543450697,1.181757343036182
7,42871228.1,51.63524640720728,40155834,48.36475359279273,9414955.5,11.33962260239966,83027062.1,4.2980918877431495,1.067621409631288
48,41598146.70000001,59.56161636575512,28242380.2,40.438383634244886,584406,0.8367720375832386,69840526.9,3.6154597610963437,1.4728980491523873
25,41351561.199999996,49.19697314699823,42701498.48,50.80302685300177,519499.1,0.6180609034076747,84053059.67999999,4.351205074743922,0.9683866532076791
32,40958184.09999999,47.916285270169354,44520445.70000001,52.08371472983065,1459380,1.7073039231145934,85478629.8,4.425003077626419,0.9199859403024794
35,39309747.39999999,49.677087065207346,39820792.90000002,50.322912934792654,1315708,1.662705694933818,79130540.30000001,4.096379237489152,0.9871663655396468
36,35385179.900000006,52.83698755003099,31585292,47.16301244996901,277197.5,0.4139100295036147,66970471.900000006,3.4668845881241963,1.1203056124983743
53,34854172.599999994,54.74305022835634,28814498.499999996,45.256949771643654,207739,0.3262813506405979,63668671.099999994,3.2959590745087524,1.209605386677127
21,34327486,46.28657743073843,39835452.599999994,53.71342256926157,636398.6,0.8581086618377337,74162938.6,3.839219607504976,0.8617320441841799
50,34219960.3,60.33220647497698,22499265.299999997,39.66779352502302,440059.2,0.7758554446836454,56719225.599999994,2.9362046212933937,1.5209367881003653
19,32167706.6,50.365360748756494,31701004.2,49.634639251243506,486279,0.7613728129298644,63868710.8,3.3063146018518856,1.0147220068189513
43,31085347,55.596441680015886,24827128.800000004,44.40355831998411,238933.3,0.4273345019717406,55912475.800000004,2.8944413132452054,1.252071765946612
1,30273527.99999999,60.79295865432002,19524226.000000004,39.20704134567998,228024,0.4579001695538317,49797753.99999999,2.577898303054962,1.5505622604450482
59,30175582.399999995,56.675409906217425,23067230.4,43.324590093782575,159308.6,0.29921146465049275,53242812.8,2.7562399052574347,1.30815801796474
13,29467002.700000007,42.07288152370313,40570992.400000006,57.92711847629688,521015.80000000005,0.7439045039140476,70037995.10000001,3.6256821686709366,0.726307170637512
39,29330788.699999996,45.503313941442876,35127788.39999998,54.49668605855712,2946517,4.571179092937193,64458577.09999998,3.3368504234835052,0.83497396323419
46,27353836.32,48.35321983263488,29217032,51.64678016736512,741310,1.3104094422003385,56570868.32,2.9285245564383033,0.9362291255319842
